Barbie® and Ken® 30th Anniversary Star Trek Giftset,1996,15006,Collector Edition,Star Trek Dolls,Collector,,"Join Barbie® and Ken for a special mission aboard the U. S. S. Enterprise™ in this tribute to the original Star Trek series. Barbie® doll is an Engineering Officer in her short, red uniform with black trim. She wears an authentic insignia and carries a Tricorder™ and a Communicator. Ken® doll wears a gold jersey and insignia indicating he is a Command Officer. He carries a Phaser™ and Communicator. The dolls are displayed in a fun, commemorative package along with Captain James T. Kirk™ and First Officer Spock™. Beam aboard, and let the adventure begin."
Statue of Liberty Barbie® Doll,1996,14664,Limited Edition,FAO Schwarz American Beauties Collection,Collector,,"She's a symbol of liberty and a beacon of beauty. Meet Statue of Liberty Barbie®, the very first doll in the FAO Schwarz American Beauties Collection. She was designed as a tribute to the 110th anniversary of the Statue of Liberty, given to the United States by France to commemorate our centennial. Created by talented Mattel designer Heather Dutton, this exceptional Limited Edition doll captures the grace and beauty of the original Lady Liberty. From her gleaming torch to her majestic crown and shimmering red, white and blue gown she captures the spirit of America. Statue of Liberty Barbie® doll. Regal, majestic, beautiful. Let the fireworks begin!"
Starlight Waltz® Barbie® Doll,1995,14070,Limited Edition,Ballroom Beauties Collection,Collector,,"As she enters the ballroom, all eyes turn to Barbie® doll. She's positively breathtaking in a magenta satiny bodice with white faux fur collar, and a floor-length metallic-woven ball skirt of textured jewel tones. Her billowing blond hair is pulled up and tied with a silvery hair jewel."
Tangerine Twist™ Barbie® Doll,1998,17860,Collector Edition,Fashion Savvy Collection®,Collector,,"She's smart. She's classy. And just a little bit sassy. She's today's African-American woman — glamorous, exciting and confident. Tangerine Twist™ Barbie® doll has style that doesn't stop and she's not afraid to show it — expressing herself with a personal touch that makes the difference. Here, with a satiny suit that's all shimmer and sparkle, she wears a stylish leopard print hat with feathers, ""leather"" gloves, handbag and shoes."
Autumn Glory™ Barbie® Doll,1996,15204,Collector Edition,Enchanted Seasons Collection®,Collector,,"She's a doll as magical as the seasons of your childhood. Meet Autumn Glory™ Barbie® doll from the Enchanted Seasons Collection®. Her long, chiffon gown shimmers in hues of copper and auburn. Adorned with fall leaves and accented with hints of purple and gold, her gown flows around her like an autumn breeze. The fitted, metallic appliquéd bodice glitters like sunshine dancing through the trees, and even her earrings are shaped like graceful golden leaves. Her long, auburn hair falls gently past her shoulders, and a dark, wine colored hat, embellished with feathers and leaves, adds the final touch to this wondrous autumn portrait."
Spring Bouquet™ Barbie® Doll,1995,12989,Collector Edition,Enchanted Seasons Collection®,Collector,,"What better way to herald the coming of spring than with the beautiful Spring Bouquet™ Barbie® doll from the Enchanted Seasons Collection®. Sheltered from the sun in her wide-brimmed pink hat with pastel blue trim, Barbie's ready for a day of fun. Her cascading blond hair and flowing pastel floral print dress make Barbie® as lovely as the hand-picked flowers in her white basket."
French Lady™ Barbie® Doll,1997,16707,Collector Edition,The Great Eras® Collection,Collector,,"Behold the exquisite French Lady Barbie® doll in a gown that was all the rage in Napoleon's court. Its empire styling mimics the elongated elegance of a classical Greek column; its predominant color is French blue, a color much favored by royalty in France. The underskirt is dotted with golden fleurs-de-lis, a long-lived symbol of French royalty. French Lady Barbie, from the Great Eras® Collection, has hair gathered into a golden mesh headpiece and her lovely face is trimmed in tiny chestnut curls. Her skin is fair, her eyelashes rooted, while her faux turquoise jewelry complements the French blue of her gown. She truly captures the magnificence of the great Napoleonic Age."
Matinee Today™ Barbie® Doll,1996,16079,Limited Edition,Barbie Millicent Roberts® Collection,,,"It's the perfect combination and a wonderful way to start your Barbie® Millicent Roberts Collection. The giftset includes a unique Barbie® doll in a bustier with garters, stockings, pumps, pink satin robe and underpants. Never one to sit at home, her second, limited edition fashion is a chic dinner date outfit with black leotard, skirt and short pink jacket. From pert black pumps to a matching handbag, the set includes details and accessories collectors will love."
Pink Ice Barbie Doll,1996,15141,Limited Edition,,Play line,,"Pink Ice Barbie was a Toys R Us exclusive and came out in 1996. She has rooted eyelashes and the Bob' Mackie head mold. She wears a pink silk vest embellished with beads and sequins and pink marabou feathers. At the time of release, she was the most expensive Toys R Us exclusive to date and Toys R Us proclaimed that Barbie had taken fashion to a glamorous new height."
Chinese Empress™ Barbie® Doll,1997,16708,Collector Edition,The Great Eras® Collection,Collector,,"Another triumph from the Great Eras® Collection, Chinese Empress Barbie® doll's costume captures the authentic look and feel of the Qing dynasty. From her hat, to her elaborate jacket, emblazoned with 2 dragons, to her mandarin collar jacquard dress, each piece has been recreated to match the look and feel of the period. Chinese Empress Barbie® doll wears red slippers fitted over molded platforms, also typical of that age. Her jewelry is faux jade. She wears faux jade drop earrings and one ""jade"" and one golden necklace, the Chao Zhu, whose lengths also indicated her rank. The overall effect is a stunningly intricate costume that every collector will treasure."
Olympic Gymnast Barbie Doll,1995,15123,,,Play line,,"Barbie is off to the Olympics. She wears a red, white, and blue gymnastics suit and has a medal around her neck. Barbie also includes a gym bag and a ""magic tumbling ring for somersaults, cartwheels and more!"""
Donna Karan Barbie® Doll,1995,14545,Limited Edition,,Collector,,"Sporting a fabulous Donna Karan-designed ensemble, Barbie® doll wears a black mock turtleneck, sarong skirt, red fringed shawl, black hose, and a beret. Accessories include a purse, black sunglasses, and a Bloomingdale's shopping bag."
Donna Karan Barbie® Doll,1995,14545,Limited Edition,,Collector,,"Sporting a fabulous Donna Karan-designed ensemble, Barbie® doll wears a black mock turtleneck, sarong skirt, red fringed shawl, black hose, and a beret. Accessories include a purse, black sunglasses, and a Bloomingdale's shopping bag."
,,13911,,,,,
Summer Sophisticate™ Barbie® Doll,1995,15591,,,,,"She’s cool and sophisticated in this elegant summer fashion. Her short, cropped jacket slips off to reveal a stunning dress of pink and white silk shantung with accents of yellow and blue. Her matching hat is decorated with delicate flowers, and of course, Barbie® wouldn’t go anywhere without coordinated shoes and handbag. A porcelain rose on her lapel, a strand of faux pearls and the perfect travel bag add the flawless finish to this refined and charming Spiegel doll."
Christian Dior Barbie® Doll,1995,13168,Limited Edition,Christian Dior Barbie® Dolls,Collector,,"Barbie® doll wears only the most fabulous clothing, designed by the world's premier designers! In this stunning Christian Dior creation, Barbie® models an exquisite gold, black, and red metallic brocade gown that includes a fitted jacket and matching floor-length skirt. Golden beads and rhinestones accent the sleeves of her stunning jacket. Her blond hair is pulled back into an elegant chignon style, revealing golden leaf earrings."
